Event Name Clean,Date,Start Time,End Time,Day of Week,Month,Month Number,Season,Week of Year,Is Weekend,Start Hour,Time of Day,Duration (hours),Duration Category,Artists,Number of Artists,Has Artists,Venue,Venue Clean,Is TBA Venue,Number of guests attending,Attendance Category,Has Attendance Data,Genres,Primary Genre,Number of Genres,Genre IDs,Event URL,Promoter/Series,Is Cancelled
DAFT DISKO,2025-08-01,2025-08-01 21:00:00,2025-08-02 02:00:00,Friday,August,8,Summer,31,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),,0,False,Hollywood Theatre,Hollywood Theatre,False,3,Small (0-50),True,"House, Disco",House,2,"6, 21",/events/2221225,Other,False
Ricecake: REMIX,2025-08-01,2025-08-01 22:00:00,2025-08-02 03:00:00,Friday,August,8,Summer,31,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),,0,False,The Birdhouse,The Birdhouse,False,3,Small (0-50),True,Club,Club,1,39,/events/2225842,Ricecake,False
BOYS BOYS BOYS // PRIDE,2025-08-01,2025-08-01 22:00:00,2025-08-02 03:00:00,Friday,August,8,Summer,31,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Frankie Teardrop, Luca Fernandez, ZIGGY ZAYA, Fisher Bryce",4,True,The Birdhouse,The Birdhouse,False,1,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2225860,Other,False
Black Box Pride,2025-08-01,2025-08-01 21:00:00,2025-08-02 02:00:00,Friday,August,8,Summer,31,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),,0,False,The Lido,The Lido,False,1,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2227881,Other,False
GROOVELAND,2025-08-01,2025-08-01 23:59:00,2025-08-02 06:00:00,Friday,August,8,Summer,31,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),,0,False,TBA - Secret Outdoor Location,Secret Outdoor Location,True,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2231108,Other,False
DOLLY X PPRZ Pride: Clarisa Kimskii + Sharlese + Seelene and many more,2025-08-02,2025-08-02 17:00:00,2025-08-03 05:00:00,Saturday,August,8,Summer,31,True,17,Evening (5pm-10pm),12.0,Long (6+ hrs),"Clarisa Kimskii, Sharlese, Seelene, Lerma, LVT, DF Cuke, DJ HERA",7,True,Platform9,Platform9,False,396,Very Large (300+),True,"Techno, EBM",Techno,2,"5, 43",/events/2184425,DOLLY X PPRZ Pride,False
"VANTEK, SOMA, Lullaby: BERMUDA TRIANGLE (BOAT PARTY)",2025-08-02,2025-08-02 17:00:00,2025-08-02 23:00:00,Saturday,August,8,Summer,31,True,17,Evening (5pm-10pm),6.0,Long (6+ hrs),"Sakro, DK PAU, POPU",3,True,TBA,TBA,True,109,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2212092,"VANTEK, SOMA, Lullaby",False
dood's dancefloor: pride edition,2025-08-02,2025-08-02 23:00:00,2025-08-03 05:00:00,Saturday,August,8,Summer,31,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Dj Hermano, Brendocha, DJ dood, Andre Rose",4,True,TBA - Fortress,Fortress,True,179,Large (150-300),True,"Techno, House",Techno,2,"5, 6",/events/2210291,dood's dancefloor,False
"Public Disco Pride Block Party: Jason Kendig, Dj Hermano",2025-08-02,2025-08-02 16:00:00,2025-08-02 23:30:00,Saturday,August,8,Summer,31,True,16,Afternoon (12pm-5pm),7.5,Long (6+ hrs),"Jason Kendig, Dj Hermano, Fisher Bryce, AWood, Afrooz, LIONESSA, Riki Rocket, Jesse Walker",8,True,"TBA - W 3rd & Ontario, Mount Pleasant","W 3rd & Ontario, Mount Pleasant",True,34,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2150495,Public Disco Pride Block Party,False
"DAS MORTUARY: GOTH PRIDE feat. Hollennacht, Kasey Riot, VioletNoise 09PM-05AM",2025-08-02,2025-08-02 21:00:00,2025-08-03 05:00:00,Saturday,August,8,Summer,31,True,21,Evening (5pm-10pm),8.0,Long (6+ hrs),"Kasey Riot, VioletNoise",2,True,TBA - 436 W Pender St. (basement),436 W Pender St. (basement),True,22,Small (0-50),True,"EBM, Industrial",EBM,2,"43, 47",/events/2204514,DAS MORTUARY,False
Chippy Nonstop - Pep Rally - Vancouver Pride with River Moon & Young Teesh,2025-08-02,2025-08-02 22:30:00,2025-08-03 03:00:00,Saturday,August,8,Summer,31,True,22,Late Night (10pm-6am),4.5,Medium (3-6 hrs),"Chippy Nonstop, River Moon, Young Teesh",3,True,The Pearl,The Pearl,False,16,Small (0-50),True,Techno,Techno,1,5,/events/2192078,Chippy Nonstop,False
One Winged Angel LIVE featuring Technopagan (SF),2025-08-02,2025-08-02 21:00:00,2025-08-03 02:00:00,Saturday,August,8,Summer,31,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Technopagan, Matt Tecson",2,True,Fortune Sound Club,Fortune Sound Club,False,11,Small (0-50),True,"Hardcore, Club",Hardcore,2,"11, 39",/events/2220162,Other,False
(no)rave: a DULF pride fundraiser,2025-08-02,2025-08-02 20:00:00,2025-08-03 02:30:00,Saturday,August,8,Summer,31,True,20,Evening (5pm-10pm),6.5,Long (6+ hrs),mykissera,1,True,The Cobalt,The Cobalt,False,10,Small (0-50),True,"Techno, Bass",Techno,2,"5, 12",/events/2222656,(no)rave,False
Celebs Pride pres Cum Together: Sweet & Sticky with Maya Jane Coles,2025-08-02,2025-08-02 23:00:00,2025-08-03 04:00:00,Saturday,August,8,Summer,31,True,23,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Maya Jane Coles, EtOH",2,True,Celebrities Night Club,Celebrities Night Club,False,7,Small (0-50),True,House,House,1,6,/events/2220582,Celebs Pride pres Cum Together,False
Gorg-O-Mish Pride Long Weekend,2025-08-02,2025-08-02 02:00:00,2025-08-04 08:00:00,Saturday,August,8,Summer,31,True,2,Late Night (10pm-6am),54.0,Long (6+ hrs),"DJ Dickey Doo, Karsten Sollors, Sam Steele, Kasey Riot, Alfonso Tan, Luca Fernandez",6,True,Gorg-O-Mish,Gorg-O-Mish,False,6,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2215987,Gorg,False
Liminal Space Ep.17,2025-08-02,2025-08-02 16:00:00,2025-08-02 18:00:00,Saturday,August,8,Summer,31,True,16,Afternoon (12pm-5pm),2.0,Short (< 3 hrs),Bronsön,1,True,TBA - Bside Radio,Bside Radio,True,3,Small (0-50),True,Techno,Techno,1,5,/events/2218663,Other,False
iPod Shuffle,2025-08-02,2025-08-02 22:00:00,2025-08-03 02:00:00,Saturday,August,8,Summer,31,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),,0,False,The Pearl,The Pearl,False,3,Small (0-50),True,"Tech House, Baile Funk",Tech House,2,"15, 34",/events/2224738,Other,False
FUTR W/ TR4CK ID? & DJ Pacifier,2025-08-02,2025-08-02 20:00:00,2025-08-02 22:00:00,Saturday,August,8,Summer,31,True,20,Evening (5pm-10pm),2.0,Short (< 3 hrs),"TR4CK ID?, DJ Pacifier",2,True,TBA - Bside Radio,Bside Radio,True,3,Small (0-50),True,"Breakcore, Gabber",Breakcore,2,"36, 73",/events/2226533,Other,False
MASHKAWOW - EtOH b2b soratora,2025-08-02,2025-08-02 14:00:00,2025-08-02 16:00:00,Saturday,August,8,Summer,31,True,14,Afternoon (12pm-5pm),2.0,Short (< 3 hrs),"EtOH, soratora",2,True,TBA - Bside Radio,Bside Radio,True,3,Small (0-50),True,"Techno, Hardcore",Techno,2,"5, 11",/events/2226773,MASHKAWOW,False
FAG OUT // pride saturday afterhours,2025-08-02,2025-08-02 23:00:00,2025-08-03 06:00:00,Saturday,August,8,Summer,31,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Frankie Teardrop, ZIGGY ZAYA, PM, SUBDIDI",4,True,The Birdhouse,The Birdhouse,False,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2225865,Other,False
LE HANGOVER: PRIDE BLOCK PARTY,2025-08-02,2025-08-02 13:00:00,2025-08-02 20:00:00,Saturday,August,8,Summer,31,True,13,Afternoon (12pm-5pm),7.0,Long (6+ hrs),Kota,1,True,The Birdhouse,The Birdhouse,False,0,No data,False,"Club, Electronica",Club,2,"39, 75",/events/2225844,LE HANGOVER,False
Bears In Space Vancouver,2025-08-02,2025-08-02 22:00:00,2025-08-03 03:00:00,Saturday,August,8,Summer,31,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Bears In Space, Pretty Gay Friendly, Perfect Lovers",3,True,Fortune Sound Club,Fortune Sound Club,False,0,No data,False,Disco,Disco,1,21,/events/2227815,Other,False
Nordic Trax: RELEASE: Pride Weekend Special,2025-08-03,2025-08-03 22:00:00,2025-08-04 03:00:00,Sunday,August,8,Summer,31,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Luke McKeehan, Jesse Hills",2,True,"TBA - The Penthouse Nightclub (Upstairs), 1019 Seymour St, Vancouver BC","The Penthouse Nightclub (Upstairs), 1019 Seymour St, Vancouver BC",True,33,Small (0-50),True,"Deep House, Disco",Deep House,2,"20, 21",/events/2214099,Nordic Trax,False
teXture III,2025-08-03,2025-08-03 23:00:00,2025-08-04 05:00:00,Sunday,August,8,Summer,31,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Afrooz, educación física, Fisher Bryce, Perfect Lovers, ZIGGY ZAYA",5,True,TBA - Venue details emailed to ticket holders day of the event. ,Venue details emailed to ticket holders day of the event.,True,276,Large (150-300),True,"Trance, Acid",Trance,2,"2, 32",/events/2196949,Other,False
"HOTLINE ☏ VanPride Afterhours feat. DR BPM, ET0H, Kasey Riot, emerencz & Nancy Dru 10PM-06AM",2025-08-03,2025-08-03 22:00:00,2025-08-04 06:00:00,Sunday,August,8,Summer,31,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"DR BPM, Kasey Riot, EtOH, Nancy Dru, emerencz",5,True,TBA - 436 W Pender St. Vancouver,436 W Pender St. Vancouver,True,62,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2205779,"HOTLINE ☏ VanPride Afterhours feat. DR BPM, ET0H, Kasey Riot, emerencz & Nancy Dru 10PM",False
Celebrities Pride pres. Cum Together: Sweet & Sticky with LSDXOXO,2025-08-03,2025-08-03 22:00:00,2025-08-04 02:00:00,Sunday,August,8,Summer,31,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"LSDXOXO, SUBDIDI",2,True,Village Studios,Village Studios,False,32,Small (0-50),True,"Techno, Ghetto Tech",Techno,2,"5, 69",/events/2185072,Celebrities Pride pres. Cum Together,False
Hard Kandy,2025-08-03,2025-08-03 22:00:00,2025-08-04 06:00:00,Sunday,August,8,Summer,31,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"hainafromchina, EtOH, ANTI-NOTHING, paperback",4,True,TBA,TBA,True,25,Small (0-50),True,,Unknown,0,,/events/2221968,Other,False
Gorg-O-Mish Pride Long Weekend,2025-08-02,2025-08-02 02:00:00,2025-08-04 08:00:00,Saturday,August,8,Summer,31,True,2,Late Night (10pm-6am),54.0,Long (6+ hrs),"DJ Dickey Doo, Karsten Sollors, Sam Steele, Kasey Riot, Alfonso Tan, Luca Fernandez",6,True,Gorg-O-Mish,Gorg-O-Mish,False,6,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2215987,Gorg,False
FRUiT MACHiNE // Pride Sunday After Hours,2025-08-03,2025-08-03 23:00:00,2025-08-04 06:00:00,Sunday,August,8,Summer,31,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),SUBDIDI,1,True,Vantek Warehouse,Vantek Warehouse,False,4,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2225873,Other,False
Queers and Beers - Pride Block Party,2025-08-03,2025-08-03 13:00:00,2025-08-03 20:00:00,Sunday,August,8,Summer,31,True,13,Afternoon (12pm-5pm),7.0,Long (6+ hrs),"Phillippe, ZIGGY ZAYA",2,True,The Birdhouse,The Birdhouse,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2225868,Queers and Beers,False
LEVEL UP: Worldwide Pride,2025-08-03,2025-08-03 21:30:00,2025-08-04 02:30:00,Sunday,August,8,Summer,31,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),,0,False,The Birdhouse,The Birdhouse,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2225870,LEVEL UP,False
Gorg-O-Mish Pride Long Weekend,2025-08-04,2025-08-04 02:00:00,2025-08-04 08:00:00,Monday,August,8,Summer,32,False,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"DJ Dickey Doo, Karsten Sollors, Sam Steele",3,True,Gorg-O-Mish,Gorg-O-Mish,False,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2220195,Gorg,False
The Ryze Radio // Sensational Listening Sessions #3: feat. ENNY,2025-08-06,2025-08-06 18:00:00,2025-08-06 23:00:00,Wednesday,August,8,Summer,32,False,18,Evening (5pm-10pm),5.0,Medium (3-6 hrs),The Ryze,1,True,Bleach Listening Room,Bleach Listening Room,False,3,Small (0-50),True,"Hip-Hop, Jazz",Hip-Hop,2,"9, 29",/events/2229151,The Ryze Radio // Sensational Listening Sessions #3,False
Vibe Corridor with DJ D.DEE,2025-08-06,2025-08-06 21:00:00,2025-08-07 01:00:00,Wednesday,August,8,Summer,32,False,21,Evening (5pm-10pm),4.0,Medium (3-6 hrs),DJ D.Dee,1,True,The Lido,The Lido,False,1,Small (0-50),True,"Disco, Downtempo",Disco,2,"21, 22",/events/2231113,Other,False
Infidels Jazz Presents: Bill Orcutt,2025-08-07,2025-08-07 19:00:00,2025-08-07 22:00:00,Thursday,August,8,Summer,32,False,19,Evening (5pm-10pm),3.0,Medium (3-6 hrs),,0,False,The Pearl,The Pearl,False,1,Small (0-50),True,"Experimental, Jazz",Experimental,2,"25, 29",/events/2231117,Infidels Jazz Presents,False
VANTEK PRESENTS: SHDW & ANNE,2025-08-08,2025-08-08 23:59:00,2025-08-09 06:00:00,Friday,August,8,Summer,32,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),"SHDW, ANNĒ, AWood",3,True,Industrial 236,Industrial 236,False,217,Large (150-300),True,Techno,Techno,1,5,/events/2178209,VANTEK PRESENTS,False
Endless Summer at Sun Peaks Resort,2025-08-08,2025-08-08 17:00:00,2025-08-10 01:00:00,Friday,August,8,Summer,32,True,17,Evening (5pm-10pm),32.0,Long (6+ hrs),"DJ Sneak, Tiger & Woods, Tortured Soul, Mood II Swing, Lisa Shaw, DJ Dan, DJ Colette, Juliet Mendoza, Art of Tones, Smalltown DJs, Luke McKeehan",11,True,"TBA - Sun Peaks Resort at Sun Peaks, BC (45km from Kamloops)","Sun Peaks Resort at Sun Peaks, BC (45km from Kamloops)",True,23,Small (0-50),True,"Deep House, Disco",Deep House,2,"20, 21",/events/2197952,Other,False
Flight Facilities,2025-08-08,2025-08-08 20:00:00,2025-08-09 02:00:00,Friday,August,8,Summer,32,True,20,Evening (5pm-10pm),6.0,Long (6+ hrs),Flight Facilities,1,True,Commodore Ballroom,Commodore Ballroom,False,15,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2207174,Other,False
Space 92,2025-08-08,2025-08-08 22:00:00,2025-08-09 02:00:00,Friday,August,8,Summer,32,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Space 92, Henry C, Jay Di, Marist",4,True,Village Studios,Village Studios,False,15,Small (0-50),True,"Techno, Acid",Techno,2,"5, 32",/events/2222654,Other,False
Lowkey presents: HIJINX,2025-08-08,2025-08-08 22:30:00,2025-08-09 03:00:00,Friday,August,8,Summer,32,True,22,Late Night (10pm-6am),4.5,Medium (3-6 hrs),"HIJINX, Nosfu",2,True,The Pearl,The Pearl,False,8,Small (0-50),True,"Bass, Dubstep",Bass,2,"12, 24",/events/2220745,Lowkey presents,False
Dandelion Records with Daniel Rincon & Show Of Hands,2025-08-08,2025-08-08 21:00:00,2025-08-09 02:00:00,Friday,August,8,Summer,32,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Show of Hands, Bobby Myseh",2,True,The Lido,The Lido,False,6,Small (0-50),True,"Downtempo, Experimental",Downtempo,2,"22, 25",/events/2231129,Other,False
Active / Passive Vol. 7,2025-08-08,2025-08-08 17:00:00,2025-08-10 23:00:00,Friday,August,8,Summer,32,True,17,Evening (5pm-10pm),54.0,Long (6+ hrs),"yawn, osmanthus, mitote, Idlefon",4,True,Yellowhouse Art Centre,Yellowhouse Art Centre,False,3,Small (0-50),True,"Ambient, Experimental",Ambient,2,"19, 25",/events/2216765,Other,False
GROOVELAND,2025-08-08,2025-08-08 23:59:00,2025-08-09 06:00:00,Friday,August,8,Summer,32,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),,0,False,TBA - Secret Outdoor Location,Secret Outdoor Location,True,3,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2231116,Other,False
DIDI,2025-08-08,2025-08-08 20:00:00,2025-08-09 02:00:00,Friday,August,8,Summer,32,True,20,Evening (5pm-10pm),6.0,Long (6+ hrs),,0,False,At The Waldorf Hotel,At The Waldorf Hotel,False,2,Small (0-50),True,"House, Garage",House,2,"6, 13",/events/2232957,Other,False
"THE CAGE PROJECT: ANXHELA, Behrad Tehrani, Cataria, TASHI",2025-08-09,2025-08-09 23:00:00,2025-08-10 06:00:00,Saturday,August,8,Summer,32,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"ANXHELA, Behrad Tehrani, TASHI, Cataria",4,True,Industrial 236,Industrial 236,False,305,Very Large (300+),True,Techno,Techno,1,5,/events/2193487,THE CAGE PROJECT,False
Endless Summer at Sun Peaks Resort,2025-08-08,2025-08-08 17:00:00,2025-08-10 01:00:00,Friday,August,8,Summer,32,True,17,Evening (5pm-10pm),32.0,Long (6+ hrs),"DJ Sneak, Tiger & Woods, Tortured Soul, Mood II Swing, Lisa Shaw, DJ Dan, DJ Colette, Juliet Mendoza, Art of Tones, Smalltown DJs, Luke McKeehan",11,True,"TBA - Sun Peaks Resort at Sun Peaks, BC (45km from Kamloops)","Sun Peaks Resort at Sun Peaks, BC (45km from Kamloops)",True,23,Small (0-50),True,"Deep House, Disco",Deep House,2,"20, 21",/events/2197952,Other,False
Floor Freakout with DJ Spence - DJ Frog - Big Zen,2025-08-09,2025-08-09 23:00:00,2025-08-10 05:00:00,Saturday,August,8,Summer,32,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"DJ Spence, DJ Frog, Big Zen",3,True,TBA,TBA,True,114,Medium (50-150),True,"Tech House, Minimal Techno",Tech House,2,"15, 77",/events/2219716,Floor Freakout with DJ Spence,False
CINEMAGIC Open Air: Day Party,2025-08-09,2025-08-09 17:00:00,2025-08-09 23:00:00,Saturday,August,8,Summer,32,True,17,Evening (5pm-10pm),6.0,Long (6+ hrs),"Carlos Luna, Project Mavara, QuaranTünes",3,True,Industrial 236,Industrial 236,False,77,Medium (50-150),True,"Progressive House, Tech House",Progressive House,2,"1, 15",/events/2218372,CINEMAGIC Open Air,False
Vancouver Loves Drum & Bass,2025-08-09,2025-08-09 22:00:00,2025-08-10 03:00:00,Saturday,August,8,Summer,32,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),,0,False,Platform9,Platform9,False,35,Small (0-50),True,Drum & Bass,Drum & Bass,1,4,/events/2218434,Other,False
Gorg-O-Mish presents: Mike Shannon & Mike McSuede,2025-08-09,2025-08-09 02:00:00,2025-08-09 08:00:00,Saturday,August,8,Summer,32,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"Mike Shannon, Mike McSuede",2,True,Gorg-O-Mish,Gorg-O-Mish,False,16,Small (0-50),True,"Minimal, Minimal Techno",Minimal,2,"18, 77",/events/2225638,Gorg-O-Mish presents,False
Active / Passive Vol. 7,2025-08-08,2025-08-08 17:00:00,2025-08-10 23:00:00,Friday,August,8,Summer,32,True,17,Evening (5pm-10pm),54.0,Long (6+ hrs),"yawn, osmanthus, mitote, Idlefon",4,True,Yellowhouse Art Centre,Yellowhouse Art Centre,False,3,Small (0-50),True,"Ambient, Experimental",Ambient,2,"19, 25",/events/2216765,Other,False
handwash Comme Des Garcons Live Release Party,2025-08-09,2025-08-09 20:00:00,2025-08-09 23:00:00,Saturday,August,8,Summer,32,True,20,Evening (5pm-10pm),3.0,Medium (3-6 hrs),,0,False,TBA - #401-353 Railway Street Vancouver V6A 1A4,#401-353 Railway Street Vancouver V6A 1A4,True,2,Small (0-50),True,"Techno, Electro",Techno,2,"5, 16",/events/2221962,Other,False
Satin Jackets,2025-08-09,2025-08-09 22:00:00,2025-08-10 02:00:00,Saturday,August,8,Summer,32,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),Satin Jackets,1,True,Village Studios,Village Studios,False,1,Small (0-50),True,Disco,Disco,1,21,/events/2222641,Other,False
Gorg-O-Mish presents: Jay Tripwire & Tyler Stadius,2025-08-10,2025-08-10 02:00:00,2025-08-10 08:00:00,Sunday,August,8,Summer,32,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"Jay Tripwire, Tyler Stadius",2,True,Gorg-O-Mish,Gorg-O-Mish,False,6,Small (0-50),True,"Tech House, Minimal Techno",Tech House,2,"15, 77",/events/2232855,Gorg-O-Mish presents,False
Active / Passive Vol. 7,2025-08-08,2025-08-08 17:00:00,2025-08-10 23:00:00,Friday,August,8,Summer,32,True,17,Evening (5pm-10pm),54.0,Long (6+ hrs),"yawn, osmanthus, mitote, Idlefon",4,True,Yellowhouse Art Centre,Yellowhouse Art Centre,False,3,Small (0-50),True,"Ambient, Experimental",Ambient,2,"19, 25",/events/2216765,Other,False
Vibe Corridor with Pacific Coliseum,2025-08-13,2025-08-13 21:00:00,2025-08-14 01:00:00,Wednesday,August,8,Summer,33,False,21,Evening (5pm-10pm),4.0,Medium (3-6 hrs),Pacific Coliseum,1,True,The Lido,The Lido,False,0,No data,False,"Downtempo, Balearic",Downtempo,2,"22, 35",/events/2236651,Other,False
PRESSURE: Introspekt,2025-08-15,2025-08-15 23:00:00,2025-08-16 05:00:00,Friday,August,8,Summer,33,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Introspekt, SUBDIDI",2,True,Industrial 236,Industrial 236,False,126,Medium (50-150),True,"Garage, Dubstep",Garage,2,"13, 24",/events/2220541,PRESSURE,False
LIVID INDOOR RAVE VOL. 002 (Industrial 236),2025-08-15,2025-08-15 23:00:00,2025-08-16 07:00:00,Friday,August,8,Summer,33,True,23,Late Night (10pm-6am),8.0,Long (6+ hrs),"DK PAU, POPU, KINGO, Bÿständer, VLADJ, MED!C, HEU (CA)",7,True,Industrial 236,Industrial 236,False,431,Very Large (300+),True,"Techno, Industrial",Techno,2,"5, 47",/events/2229021,Other,False
RTR: ACA 001,2025-08-15,2025-08-15 23:00:00,2025-08-16 06:00:00,Friday,August,8,Summer,33,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),Behrad Tehrani,1,True,Vantek Warehouse,Vantek Warehouse,False,126,Medium (50-150),True,Techno,Techno,1,5,/events/2208125,Other,False
Don Gaucho Audio - ASCENT SERIES III: YokoO,2025-08-15,2025-08-15 22:00:00,2025-08-16 05:00:00,Friday,August,8,Summer,33,True,22,Late Night (10pm-6am),7.0,Long (6+ hrs),"YokoO, Paul Franc, Jared Love",3,True,Platform9,Platform9,False,103,Medium (50-150),True,"House, Minimal",House,2,"6, 18",/events/2229821,Don Gaucho Audio - ASCENT SERIES III,False
VAN SECRET RAVE by PACIFIC BREAKS (FREE EVENT),2025-08-15,2025-08-15 23:00:00,2025-08-16 06:00:00,Friday,August,8,Summer,33,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),,0,False,TBA - follow us @vansecretrave on instagram for updates,follow us @vansecretrave on instagram for updates,True,70,Medium (50-150),True,"Breakbeat, Tech House",Breakbeat,2,"3, 15",/events/2228512,Other,False
ONE MORE TIME: A TRIBUTE TO DAFT PUNK,2025-08-15,2025-08-15 22:00:00,2025-08-16 03:00:00,Friday,August,8,Summer,33,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),,0,False,The Pearl,The Pearl,False,8,Small (0-50),True,Electronica,Electronica,1,75,/events/2207797,ONE MORE TIME,False
DICE by Lullaby,2025-08-15,2025-08-15 23:59:00,2025-08-16 06:00:00,Friday,August,8,Summer,33,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),,0,False,TBA - 879 E Hastings St,879 E Hastings St,True,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2237567,Other,False
"Paradise Island Summer Series with Kornél Kovács, DJ Express & DJ HERA",2025-08-16,2025-08-16 20:00:00,2025-08-16 23:59:00,Saturday,August,8,Summer,33,True,20,Evening (5pm-10pm),3.9833333333333334,Medium (3-6 hrs),"Kornél Kovács, DJ Express, DJ HERA",3,True,"Chain & Forge Plaza, Granville Island","Chain & Forge Plaza, Granville Island",False,354,Very Large (300+),True,"Techno, House",Techno,2,"5, 6",/events/2220750,Other,False
"VANTEK PRESENTS: Grace Dahl, Afrooz, Jay Di, The GOAT",2025-08-16,2025-08-16 23:00:00,2025-08-17 06:00:00,Saturday,August,8,Summer,33,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Grace Dahl, Afrooz, Jay Di, The GOAT",4,True,Industrial 236,Industrial 236,False,255,Large (150-300),True,Techno,Techno,1,5,/events/2178216,VANTEK PRESENTS,False
PARADICE: Paradise Island Afters Vol. 1 with Special Guests,2025-08-16,2025-08-16 23:59:00,2025-08-17 05:00:00,Saturday,August,8,Summer,33,True,23,Late Night (10pm-6am),5.016666666666667,Medium (3-6 hrs),"DJ Express, Küt",2,True,TBA - Secret Location,Secret Location,True,137,Medium (50-150),True,"House, Balearic",House,2,"6, 35",/events/2236788,PARADICE,False
Super Awesome Warehouse Party,2025-08-16,2025-08-16 22:00:00,2025-08-17 04:00:00,Saturday,August,8,Summer,33,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"jær (CA), WERK (2), 0xydr0p, alecks",4,True,Platform9,Platform9,False,268,Large (150-300),True,"Techno, Electronica",Techno,2,"5, 75",/events/2214102,Other,False
NOOSH presents: TRIPTYKH (Outworld / Schranz) + Guests,2025-08-16,2025-08-16 22:00:00,2025-08-17 06:00:00,Saturday,August,8,Summer,33,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"TRIPTYKH, NIMAHA, BRNT, Five Alive, Night Format, Wonderboi",6,True,The Spot,The Spot,False,163,Large (150-300),True,"Techno, Hardcore",Techno,2,"5, 11",/events/2216908,NOOSH presents,False
OBSTRUCTED VIEW 2,2025-08-16,2025-08-16 23:00:00,2025-08-17 04:30:00,Saturday,August,8,Summer,33,True,23,Late Night (10pm-6am),5.5,Medium (3-6 hrs),"Dairy Free, dj_2button",2,True,TBA,TBA,True,151,Large (150-300),True,Balearic,Balearic,1,35,/events/2192826,Other,False
POKÉRAVE,2025-08-16,2025-08-16 22:00:00,2025-08-17 02:00:00,Saturday,August,8,Summer,33,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"buny, Xiumei, EtOH, TR4CK ID?",4,True,Gorg-O-Mish,Gorg-O-Mish,False,105,Medium (50-150),True,"Techno, Hardcore",Techno,2,"5, 11",/events/2223430,Other,False
Tunnel rave,2025-08-16,2025-08-16 23:59:00,2025-08-17 05:00:00,Saturday,August,8,Summer,33,True,23,Late Night (10pm-6am),5.016666666666667,Medium (3-6 hrs),,0,False,TBA,TBA,True,26,Small (0-50),True,"Techno, Hardcore",Techno,2,"5, 11",/events/2232101,Other,False
